Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 1,00, L2: 0,0000] -> Accuracy: 97,25%, Precision: 0,9678, Recall: 0,9775, F1-Score: 0,9726
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 1,00, L2: 0,0000] -> Accuracy: 96,50%, Precision: 0,9515, Recall: 0,9800, F1-Score: 0,9655
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,38%, Precision: 0,9874, Recall: 0,9800, F1-Score: 0,9837
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,00%, Precision: 0,9824, Recall: 0,9775, F1-Score: 0,9799
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,00%, Precision: 0,9800, Recall: 0,9800, F1-Score: 0,9800
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,00%, Precision: 0,9824, Recall: 0,9775, F1-Score: 0,9799
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 1,00, L2: 0,0000] -> Accuracy: 96,88%, Precision: 0,9723, Recall: 0,9650, F1-Score: 0,9686
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,25%, Precision: 0,9874, Recall: 0,9775, F1-Score: 0,9824
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 1,00, L2: 0,0000] -> Accuracy: 97,50%, Precision: 0,9726, Recall: 0,9775, F1-Score: 0,9751
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,25%, Precision: 0,9849, Recall: 0,9800, F1-Score: 0,9825
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,00%, Precision: 0,9800, Recall: 0,9800, F1-Score: 0,9800
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,88%, Precision: 0,9799, Recall: 0,9775, F1-Score: 0,9787
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,38%, Precision: 0,9874, Recall: 0,9800, F1-Score: 0,9837
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,38%, Precision: 0,9874, Recall: 0,9800, F1-Score: 0,9837
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,88%, Precision: 0,9799, Recall: 0,9775, F1-Score: 0,9787
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,50%, Precision: 0,9703, Recall: 0,9800, F1-Score: 0,9751
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,97, L2: 0,0000] -> Accuracy: 97,50%, Precision: 0,9703, Recall: 0,9800, F1-Score: 0,9751
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,50%, Precision: 0,9703, Recall: 0,9800, F1-Score: 0,9751
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,63%, Precision: 0,9798, Recall: 0,9725, F1-Score: 0,9762
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,97, L2: 0,0000] -> Accuracy: 97,50%, Precision: 0,9703, Recall: 0,9800, F1-Score: 0,9751
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,97, L2: 0,0000] -> Accuracy: 97,50%, Precision: 0,9703, Recall: 0,9800, F1-Score: 0,9751
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,97, L2: 0,0000] -> Accuracy: 97,63%, Precision: 0,9751, Recall: 0,9775, F1-Score: 0,9763
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,88%, Precision: 0,9824, Recall: 0,9750, F1-Score: 0,9787
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,00%, Precision: 0,9776, Recall: 0,9825, F1-Score: 0,9800
